Link,Title,Rating,No. of Ratings,Price
/-/en/Chromebook-IdeaPad-Display-Celeron-Graphics/dp/B0C2HLTMHZ/ref=sr_1_22?qid=1695644971&s=computers&sr=1-22,Lenovo Chromebook IdeaPad Slim 3i | 15.6 Inch Full HD Touch Display | Intel Celeron N4500 | 8GB RAM | 128GB SSD | Intel UHD Graphics | Chrome OS | QWERTZ | Grey | 3 Months Premium Care,4.0 out of 5 stars,(65),349.00
/-/en/Lenovo-Legion-Display-GeForce-Premium/dp/B0BWFJFV7W/ref=sr_1_23?qid=1695644971&s=computers&sr=1-23,Lenovo Legion 5 Gaming Laptop | 15.6 Inch Full HD Display | 165Hz | AMD Ryzen 7 6800H | 16GB RAM | 1TB SSD | NVIDIA GeForce RTX 3060 | Win11 Home | QWERTZ | Grey | 3 Months Premium Care,4.2 out of 5 stars,(109),999.00
/-/en/Anti-Glare-Display-i7-12700H-Windows-Keyboard/dp/B0BZ6764CB/ref=sr_1_24?qid=1695644971&s=computers&sr=1-24,ASUS TUF Gaming F15 Laptop | 15.6 Inch FHD 144Hz Anti-Glare IPS Display | Intel Core i7-12700H | 16 GB RAM | 512 GB SSD | NVIDIA RTX 4050 | Windows 11 | QWERTZ Keyboard | Mecha Grey,4.5 out of 5 stars,(28),"1,099.00"
/-/en/sspa/click?ie=UTF8&spc=MTo0ODE0NTEzNTMxODQ2NjMyOjE2OTU2NDQ5NzE6c3BfbXRmX2Jyb3dzZToyMDEyNjg1MDEyOTg5ODo6MDo6&url=%2FLenovo-V15-Windows-Wireless-Notebook%2Fdp%2FB08SK1PZ4H%2Fref%3Dsr_1_25_sspa%3Fqid%3D1695644971%26s%3Dcomputers%26sr%3D1-25-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1,Lenovo V15 - 15.6 Inch FHD - AMD Ryzen 5 3500U - 12GB RAM - 500GB SSD - Windows 11 Pro # with Wireless Mouse + Notebook Bag,5.0 out of 5 stars,(2),549.00
/-/en/sspa/click?ie=UTF8&spc=MTo0ODE0NTEzNTMxODQ2NjMyOjE2OTU2NDQ5NzE6c3BfbXRmX2Jyb3dzZToyMDA2NDkwODQwNjM5ODo6MDo6&url=%2FLenovo-Notebook-i5-1035G1-Bluetooth-Webcam%2Fdp%2FB0883DBKL7%2Fref%3Dsr_1_26_sspa%3Fqid%3D1695644971%26s%3Dcomputers%26sr%3D1-26-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1,Lenovo V15 (15.6 Inch Full HD) Notebook Intel Core i5-1035G1 4 x 1.0 GHz 16 GB RAM 1000 GB SSD Bluetooth HDMI HD Webcam Win10 Pro,4.0 out of 5 stars,(3),536.00
/-/en/sspa/click?ie=UTF8&spc=MTo0ODE0NTEzNTMxODQ2NjMyOjE2OTU2NDQ5NzE6c3BfbXRmX2Jyb3dzZToyMDEwNTMwNzE2OTA5ODo6MDo6&url=%2FLaptops-Windows11-Portable-Magnetic-Keyboard%2Fdp%2FB0BPQRNCBY%2Fref%3Dsr_1_27_sspa%3Fqid%3D1695644971%26s%3Dcomputers%26sr%3D1-27-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1,"Tonysa 2 in 1 Laptops for Windows11, 3K HD Touch Screen, Portable 12.3 Inch Laptops with Magnetic Keyboard, 12GB RAM 512GB SSD Mini Gaming Laptop",,,406.72
/-/en/Anti-Glare-Display-i9-13980HX-Windows-Keyboard/dp/B0BZTJKZ5L/ref=sr_1_28?qid=1695644971&s=computers&sr=1-28,ASUS ROG Strix G16 Laptop | 16 Inch FHD+ 165Hz/7ms Anti-Glare IPS Display | Intel Core i9-13980HX | 16 GB RAM | 1 TB SSD | NVIDIA RTX 4070 | Windows 11 | QWERTZ Keyboard with 4-Zone RGB | Eclipse Grey,4.5 out of 5 stars,(144),"1,849.00"
/-/en/A515-57-58LU-Display-i5-1235U-Graphics-Keyboard/dp/B09X9B6NR9/ref=sr_1_29?qid=1695644971&s=computers&sr=1-29,"Acer Aspire 5 (A515-57-58LU) Laptop, 15.6 FHD Display, Intel Core i5-1235U, 16GB RAM, 512GB SSD, Intel Iris Xe Graphics, Windows 11, QWERTZ Keyboard, Grey",4.2 out of 5 stars,(132),649.00
/-/en/Notebook-i7-13700H-Windows-Aluminium-B13VFK-266/dp/B0BVP4L8RN/ref=sr_1_30?qid=1695644971&s=computers&sr=1-30,"MSI Pulse 17 Gaming Notebook, 17.3 Inches, Full HD, Intel Core i7-13700H, 2 x 8 GB RAM, 1 TB SSD, RTX 4060 8 GB, Windows 11 H, Slim and Aluminium Cover, B13VFK-266, Black",4.2 out of 5 stars,(18),"1,649.00"
/-/en/A515-56-72DA-Display-i7-1165G7-Graphics-Keyboard/dp/B09CYX33Z9/ref=sr_1_31?qid=1695644971&s=computers&sr=1-31,"Acer Aspire 5 (A515-56-72DA) Laptop, 15.6 FHD Display, Intel Core i7-1165G7, 16GB RAM, 1TB SDD, Intel Iris Xe Graphics, Windows 11, QWERTZ Keyboard, Silver",4.2 out of 5 stars,(132),749.00
